record_id,timestamp,wafer_id,lot_id,process_node_nm,required_time_ns,arrival_time_ns,temperature_c,leakage_power_mw,dynamic_power_mw,routing_utilization,overflow_count,defect_density,test_time_sec,test_coverage_pct,fail_rate_pct,good_chips,total_chips,center_defect_score,edge_defect_score,scratch_score,cluster_score,slack_ns,yield_pct,congestion_score
67,2026-01-01 01:07:00,WAFER_67,LOT_17,7,4.191,8.371,70.935,29.081,113.334,48.767,19,6.435,182.193,95.044,6.504,929,1000,0.533,0.361,0.884,0.722,-4.18,85.4480487952978,40.249
68,2026-01-01 01:08:00,WAFER_68,LOT_18,2,8.864,5.935,69.738,54.009,148.553,35.599,34,3.559,65.019,85.199,5.516,962,1000,0.407,0.074,0.621,0.74,2.929,96.2,38.439
69,2026-01-01 01:09:00,WAFER_69,LOT_19,14,1.596,9.762,71.281,77.448,98.664,53.948,52,2.688,153.975,94.242,0.71,826,1000,0.461,0.618,0.812,0.02,-8.166,78.9680114695199,58.466
70,2026-01-01 01:10:00,WAFER_70,LOT_20,7,5.923,10.176,70.356,32.968,111.917,65.552,38,5.347,364.177,85.267,1.439,724,1000,0.036,0.13,0.776,0.223,-4.253,70.0,59.709
71,2026-01-01 01:11:00,WAFER_71,LOT_21,3,7.425,8.912,77.072,22.108,129.145,60.234,52,4.912,204.481,99.85,0.283,863,1000,0.926,0.868,0.574,0.73,-1.487,83.96220781832469,62.552
72,2026-01-01 01:12:00,WAFER_72,LOT_22,2,5.38,7.229,55.188,47.794,164.362,43.67,9,4.444,253.855,99.167,11.609,856,1000,0.031,0.86,0.748,0.124,-1.849,76.76731696229498,32.435
73,2026-01-01 01:13:00,WAFER_73,LOT_23,7,2.183,3.976,85.409,11.213,25.598,72.099,79,6.566,92.579,83.833,11.364,885,1000,0.773,0.072,0.708,0.187,-1.793,81.47525471323947,82.414
74,2026-01-01 01:14:00,WAFER_74,LOT_24,7,9.28,10.633,80.958,68.115,66.261,80.461,64,3.977,162.493,93.727,1.345,855,1000,0.298,0.413,0.48,0.66,-1.353,81.83092638975909,81.1
75,2026-01-01 01:15:00,WAFER_75,LOT_25,7,5.644,3.687,60.328,51.652,130.534,78.235,0,1.727,391.682,98.168,5.495,847,1000,0.112,0.477,0.152,0.808,1.957,84.7,50.853
76,2026-01-01 01:16:00,WAFER_76,LOT_26,7,6.413,2.986,49.04,49.674,172.92,60.201,52,0.217,145.698,83.445,4.955,784,1000,0.61,0.996,0.266,0.162,3.427,78.4,62.531
77,2026-01-01 01:17:00,WAFER_77,LOT_27,2,3.393,5.333,63.252,32.04,176.737,43.806,45,3.111,120.224,84.219,7.821,847,1000,0.707,0.251,0.376,0.551,-1.94,79.36147703037788,48.724
78,2026-01-01 01:18:00,WAFER_78,LOT_28,5,5.368,1.557,71.331,86.421,118.478,66.967,25,4.453,42.36,88.211,6.226,916,1000,0.63,0.636,0.587,0.181,3.811,89.16433481481398,54.779
79,2026-01-01 01:19:00,WAFER_79,LOT_29,3,4.933,10.589,102.383,13.144,42.912,91.988,1,1.212,58.892,83.714,13.985,801,1000,0.576,0.457,0.298,0.209,-5.656,73.44693571441576,60.242
80,2026-01-01 01:20:00,WAFER_80,LOT_30,14,2.099,6.767,79.976,83.284,30.266,64.998,27,0.224,253.916,97.852,15.029,803,1000,0.536,0.769,0.205,0.482,-4.668,71.53024750166051,54.399
81,2026-01-01 01:21:00,WAFER_81,LOT_31,7,2.349,6.458,54.117,38.903,170.827,47.524,26,6.186,284.013,97.672,3.661,871,1000,0.541,0.248,0.036,0.674,-4.109,80.15921732479089,42.591
82,2026-01-01 01:22:00,WAFER_82,LOT_32,5,8.2,7.427,66.414,84.256,83.768,40.955,27,2.088,276.632,98.982,2.233,908,1000,0.865,0.681,0.213,0.574,0.773,90.8,38.771
83,2026-01-01 01:23:00,WAFER_83,LOT_33,2,3.419,5.871,73.415,70.589,43.119,95.411,30,3.196,235.932,85.669,14.3,930,1000,0.09,0.13,0.539,0.092,-2.452,86.64197806001953,75.517
84,2026-01-01 01:24:00,WAFER_84,LOT_34,5,3.06,1.314,76.791,14.375,168.762,82.553,46,0.665,216.389,82.812,8.625,747,1000,0.157,0.015,0.14,0.286,1.746,74.7,74.359
85,2026-01-01 01:25:00,WAFER_85,LOT_35,5,5.539,7.001,59.538,79.838,27.769,55.03,6,2.626,48.856,89.959,5.649,779,1000,0.813,0.018,0.029,0.938,-1.462,70.0,38.47
86,2026-01-01 01:26:00,WAFER_86,LOT_36,7,7.65,8.019,72.515,66.396,134.027,53.903,71,2.91,356.278,97.762,1.063,813,1000,0.303,0.493,0.075,0.628,-0.369,81.3,66.987
87,2026-01-01 01:27:00,WAFER_87,LOT_37,7,1.996,5.084,66.106,7.907,116.295,92.294,74,6.144,225.232,93.428,10.383,833,1000,0.772,0.771,0.952,0.658,-3.088,77.71325898370728,93.291
88,2026-01-01 01:28:00,WAFER_88,LOT_38,14,6.114,8.421,61.859,17.033,24.915,46.364,47,5.892,72.766,99.87,3.69,843,1000,0.353,0.578,0.035,0.211,-2.307,77.0840908725334,51.287
89,2026-01-01 01:29:00,WAFER_89,LOT_39,5,2.454,3.225,76.856,62.207,67.587,69.242,25,1.326,74.34,98.212,0.833,758,1000,0.925,0.036,0.472,0.958,-0.771,75.8,56.257
90,2026-01-01 01:30:00,WAFER_90,LOT_40,3,1.792,3.169,82.513,64.634,35.488,80.664,54,3.803,225.183,89.03,7.673,976,1000,0.281,0.552,0.688,0.207,-1.377,89.07045904773213,76.732
91,2026-01-01 01:31:00,WAFER_91,LOT_41,7,1.922,2.582,83.251,72.199,112.765,60.369,6,4.986,117.831,82.708,10.232,732,1000,0.427,0.113,0.223,0.251,-0.66,70.0,41.94
92,2026-01-01 01:32:00,WAFER_92,LOT_42,7,8.173,4.646,80.318,69.822,91.109,37.554,56,2.02,388.786,82.093,3.079,947,1000,0.159,0.965,0.964,0.51,3.527,94.7,49.61
93,2026-01-01 01:33:00,WAFER_93,LOT_43,5,2.444,9.301,68.529,64.357,10.727,49.577,57,2.712,219.58,93.531,11.144,913,1000,0.667,0.353,0.023,0.496,-6.857,85.61774770100229,57.875
94,2026-01-01 01:34:00,WAFER_94,LOT_44,7,1.861,9.114,81.86,73.962,175.871,92.716,0,6.698,411.367,98.392,3.373,761,1000,0.403,0.503,0.88,0.033,-7.253,70.03689735921168,60.265
95,2026-01-01 01:35:00,WAFER_95,LOT_45,5,5.003,4.752,77.4,56.758,69.429,68.48,71,5.178,313.663,89.952,0.548,904,1000,0.941,0.339,0.391,0.744,0.251,83.0138519978951,76.462
96,2026-01-01 01:36:00,WAFER_96,LOT_46,5,8.252,6.773,75.473,28.471,53.895,87.188,28,3.001,344.28,97.65,2.702,754,1000,0.016,0.467,0.384,0.096,1.479,75.4,69.272
97,2026-01-01 01:37:00,WAFER_97,LOT_47,5,3.599,8.064,67.271,87.114,47.815,70.564,21,3.655,175.552,92.145,10.062,756,1000,0.388,0.958,0.472,0.054,-4.465,73.23684093147293,55.317
98,2026-01-01 01:38:00,WAFER_98,LOT_48,2,4.874,3.364,68.534,6.639,36.999,95.391,39,4.274,73.608,83.755,10.873,794,1000,0.024,0.261,0.971,0.507,1.51,79.4,79.554
99,2026-01-01 01:39:00,WAFER_99,LOT_49,3,1.819,2.648,74.813,37.991,179.853,93.185,61,3.417,295.879,96.29,14.729,969,1000,0.329,0.718,0.628,0.048,-0.829,92.60315807685384,88.02
100,2026-01-01 01:40:00,WAFER_100,LOT_0,2,5.093,10.527,100.839,70.598,60.169,65.905,13,2.828,182.828,90.817,1.248,846,1000,0.38,0.755,0.879,0.201,-5.434,82.23976580621024,48.688
101,2026-01-01 01:41:00,WAFER_101,LOT_1,7,6.121,7.052,77.314,43.444,78.937,55.37,1,2.476,399.553,82.914,16.21,739,1000,0.258,0.191,0.028,0.391,-0.931,73.9,36.44
102,2026-01-01 01:42:00,WAFER_102,LOT_2,5,6.067,10.618,67.277,7.235,158.131,73.507,34,1.191,97.453,96.581,8.968,935,1000,0.256,0.729,0.897,0.603,-4.551,85.9964366816893,63.08
103,2026-01-01 01:43:00,WAFER_103,LOT_3,5,4.159,4.31,64.844,10.938,119.121,78.193,70,6.622,270.601,95.562,4.326,966,1000,0.26,0.648,0.213,0.783,-0.151,88.19601239064457,82.325
104,2026-01-01 01:44:00,WAFER_104,LOT_4,14,4.024,7.89,68.591,63.377,72.678,66.895,66,0.667,366.424,90.185,6.339,927,1000,0.266,0.291,0.315,0.29,-3.866,87.90349230230915,73.182
105,2026-01-01 01:45:00,WAFER_105,LOT_5,3,2.353,3.182,97.95,91.838,162.716,87.626,78,4.107,181.132,82.348,1.135,870,1000,0.282,0.523,0.074,0.471,-0.829,83.23545437870588,92.057
106,2026-01-01 01:46:00,WAFER_106,LOT_6,5,4.434,3.56,69.608,54.668,137.453,46.733,21,6.527,401.467,88.21,2.05,885,1000,0.851,0.59,0.915,0.954,0.874,86.21591322281002,39.826
107,2026-01-01 01:47:00,WAFER_107,LOT_7,7,2.296,6.017,83.976,50.608,48.743,56.402,17,2.581,50.647,89.786,15.024,827,1000,0.039,0.837,0.526,0.39,-3.721,80.65215025520867,44.311
108,2026-01-01 01:48:00,WAFER_108,LOT_8,3,7.633,4.132,69.865,33.649,119.436,78.928,45,1.754,254.77,84.959,1.979,847,1000,0.989,0.125,0.09,0.71,3.501,84.7,71.553
109,2026-01-01 01:49:00,WAFER_109,LOT_9,2,9.23,2.643,76.873,28.102,166.808,50.788,62,6.5,330.955,84.88,1.138,877,1000,0.282,0.972,0.397,0.271,6.587,81.88299039127524,60.912
110,2026-01-01 01:50:00,WAFER_110,LOT_10,5,9.261,3.576,82.709,6.889,94.398,63.15,35,5.462,100.723,84.989,10.251,955,1000,0.028,0.769,0.381,0.623,5.685,91.16604655345684,56.798
111,2026-01-01 01:51:00,WAFER_111,LOT_11,3,8.421,1.35,67.709,29.566,134.714,96.679,45,4.471,43.143,88.633,6.63,841,1000,0.175,0.535,0.051,0.805,7.071,75.35126669731535,83.091
112,2026-01-01 01:52:00,WAFER_112,LOT_12,14,6.306,7.903,66.948,45.42,175.088,75.056,36,4.181,51.959,96.634,7.02,952,1000,0.942,0.776,0.348,0.914,-1.597,87.4778375639247,64.986
113,2026-01-01 01:53:00,WAFER_113,LOT_13,7,7.107,5.823,92.248,22.815,127.37,95.74,17,2.481,147.692,95.592,2.221,801,1000,0.998,0.733,0.293,0.938,1.284,74.94364782654901,69.881
114,2026-01-01 01:54:00,WAFER_114,LOT_14,7,3.782,1.924,84.831,12.861,27.415,81.236,42,4.379,109.269,82.181,0.942,783,1000,0.247,0.46,0.919,0.302,1.858,74.90961377208706,71.703
115,2026-01-01 01:55:00,WAFER_115,LOT_15,14,6.546,2.683,82.697,69.596,51.575,81.379,28,4.944,109.556,82.173,14.744,725,1000,0.225,0.336,0.807,0.201,3.863,70.0,65.496
116,2026-01-01 01:56:00,WAFER_116,LOT_16,7,5.145,2.005,82.66,85.516,111.166,72.879,75,0.264,203.408,83.391,6.744,923,1000,0.836,0.989,0.16,0.814,3.14,92.3,81.121
117,2026-01-01 01:57:00,WAFER_117,LOT_17,3,5.356,7.003,79.055,89.309,56.844,44.101,17,0.844,53.974,90.352,2.05,806,1000,0.914,0.884,0.932,0.63,-1.647,78.09858336591792,36.316
118,2026-01-01 01:58:00,WAFER_118,LOT_18,14,7.562,1.923,96.196,60.62,172.782,68.262,14,2.177,418.2,97.911,3.564,876,1000,0.65,0.951,0.743,0.414,5.639,81.24096200772912,50.67
119,2026-01-01 01:59:00,WAFER_119,LOT_19,5,3.755,8.392,74.483,9.75,78.91,51.171,58,2.231,298.323,85.262,1.929,816,1000,0.936,0.048,0.491,0.036,-4.637,73.54417028247163,59.361
120,2026-01-01 02:00:00,WAFER_120,LOT_20,7,4.044,1.201,80.35,71.678,87.729,98.915,27,6.128,32.117,90.535,8.232,939,1000,0.95,0.815,0.433,0.308,2.843,88.85210633100169,76.445
121,2026-01-01 02:01:00,WAFER_121,LOT_21,14,8.897,3.444,58.04,14.909,129.272,52.086,52,4.67,296.762,82.729,13.699,929,1000,0.76,0.891,0.927,0.111,5.453,87.53750153728541,57.256
122,2026-01-01 02:02:00,WAFER_122,LOT_22,5,1.95,9.729,64.925,65.277,99.122,49.764,14,2.571,336.731,82.364,6.811,827,1000,0.349,0.477,0.306,0.492,-7.779,74.13505514770993,38.647
123,2026-01-01 02:03:00,WAFER_123,LOT_23,3,5.385,8.042,60.791,75.143,74.965,74.929,42,5.512,96.305,82.134,10.614,933,1000,0.149,0.891,0.371,0.827,-2.657,89.13291777744878,67.604
124,2026-01-01 02:04:00,WAFER_124,LOT_24,3,8.802,1.715,88.015,70.328,23.028,67.701,32,2.232,356.111,95.187,11.547,867,1000,0.518,0.101,0.691,0.313,7.087,83.98818189815687,58.406
125,2026-01-01 02:05:00,WAFER_125,LOT_25,5,6.383,9.047,45.922,90.67,111.396,36.367,1,6.738,264.706,82.426,12.163,927,1000,0.29,0.06,0.759,0.358,-2.664,90.21720082512378,24.089
